
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
223 	05/02/2019	66.7 	116     	1745  	4.33	2.74   	2.34   	0.650	
224 	06/02/2019	85.8 	87      	1800  	4.41	2.53   	2.40   	0.380	
225 	07/02/2019	87.2 	86      	1822  	4.49	3.29   	1.64   	0.340	
226 	08/02/2019	79.2 	100     	1782  	4.20	2.92   	2.28   	0.470	
227 	09/02/2019	76.2 	201     	1707  	4.41	2.58   	1.80   	0.410	
228 	10/02/2019	81.8 	85      	1780  	4.63	2.58   	2.49   	0.470	
229 	11/02/2019	52.7 	146     	1782  	4.90	2.91   	1.79   	0.650	
230 	12/02/2019	69.6 	65      	1703  	4.34	3.44   	1.90   	0.760	
231 	13/02/2019	56.0 	74      	1772  	4.37	3.08   	1.78   	0.580	
232 	14/02/2019	62.5 	76      	1808  	4.59	2.56   	2.27   	0.370	
233 	15/02/2019	67.3 	76      	1739  	4.62	2.91   	2.05   	0.520	
234 	16/02/2019	72.5 	89      	1767  	4.72	2.84   	2.31   	0.440	
235 	17/02/2019	70.2 	97      	1808  	4.87	2.74   	2.25   	0.440	
236 	18/02/2019	73.6 	82      	1824  	4.74	2.47   	2.07   	0.420	
237 	19/02/2019	75.0 	150     	1822  	4.65	2.62   	2.14   	0.400	
238 	20/02/2019	71.3 	93      	1780  	4.37	3.13   	2.49   	0.380	
239 	21/02/2019	86.6 	64      	1786  	4.37	2.59   	2.19   	0.680	
240 	22/02/2019	118.0	70      	1725  	4.61	2.76   	2.22   	0.350	
241 	23/02/2019	83.3 	70      	1766  	4.14	2.67   	2.11   	0.620	
242 	24/02/2019	81.7 	75      	1778  	4.30	2.96   	1.91   	0.490	
243 	25/02/2019	78.0 	60      	1841  	4.48	2.70   	1.74   	0.430	
244 	26/02/2019	81.2 	65      	1755  	4.59	2.86   	1.89   	0.440	
245 	27/02/2019	85.8 	72      	1770  	3.99	2.85   	2.70   	0.660	
246 	28/02/2019	76.6 	69      	1793  	4.13	2.85   	2.24   	0.420	
247 	01/03/2019	66.6 	72      	1810  	4.67	2.58   	2.19   	0.450	
248 	02/03/2019	65.2 	79      	1751  	4.47	3.39   	2.19   	0.480	
249 	03/03/2019	61.1 	86      	1786  	4.53	3.03   	2.11   	0.540	
250 	04/03/2019	62.1 	107     	1772  	4.98	2.62   	2.14   	0.430	
251 	05/03/2019	54.2 	96      	1844  	4.93	3.08   	1.98   	0.400	
252 	06/03/2019	48.2 	198     	1641  	4.71	2.88   	1.88   	1.070	
253 	07/03/2019	70.5 	165     	1772  	4.76	3.66   	1.98   	0.470	
254 	08/03/2019	57.5 	100     	1759  	4.77	3.19   	2.39   	0.370	
255 	09/03/2019	53.4 	100     	1832  	4.91	2.77   	2.35   	0.330	
256 	10/03/2019	65.0 	59      	1736  	4.60	2.69   	2.69   	0.410	
257 	11/03/2019	60.5 	72      	1718  	4.43	2.50   	1.93   	0.350	
258 	12/03/2019	62.7 	86      	1828  	4.85	2.97   	1.80   	0.500	
259 	13/03/2019	62.2 	84      	1837  	4.68	3.07   	1.95   	0.440	
260 	14/03/2019	69.6 	80      	1800  	4.76	2.72   	2.34   	0.420	
261 	15/03/2019	63.4 	97      	1814  	4.07	4.04   	1.99   	0.410	
262 	16/03/2019	65.6 	81      	1851  	4.25	2.93   	2.22   	0.390	
263 	17/03/2019	79.2 	82      	1810  	4.67	2.98   	2.08   	0.590	
264 	18/03/2019	72.0 	74      	1858  	4.81	3.13   	2.00   	0.680	
