
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
176 	05/02/2019	72.6 	125     	1505  	4.58	3.02   	1.60   	0.370	
177 	06/02/2019	78.1 	77      	1525  	4.44	3.00   	2.19   	1.040	
178 	07/02/2019	80.5 	90      	1541  	4.14	3.63   	2.20   	0.420	
179 	08/02/2019	75.4 	83      	1483  	4.41	3.28   	1.16   	0.780	
180 	09/02/2019	71.6 	87      	1514  	4.75	3.23   	1.76   	0.620	
181 	10/02/2019	72.9 	87      	1520  	4.70	3.36   	1.98   	0.990	
182 	11/02/2019	43.3 	194     	1438  	5.33	3.35   	1.34   	0.350	
183 	12/02/2019	45.9 	138     	1489  	5.49	3.37   	0.91   	0.370	
184 	13/02/2019	72.5 	94      	1496  	4.80	2.96   	1.50   	0.540	
185 	14/02/2019	75.4 	93      	1507  	4.71	3.27   	1.57   	0.530	
186 	15/02/2019	73.6 	78      	1520  	4.53	2.92   	2.08   	0.940	
187 	16/02/2019	76.0 	75      	1559  	4.65	2.95   	1.75   	0.910	
188 	17/02/2019	69.0 	75      	1506  	4.78	3.12   	1.83   	0.580	
189 	18/02/2019	73.3 	103     	1547  	4.65	2.74   	2.03   	0.370	
190 	19/02/2019	80.7 	84      	1572  	4.62	3.08   	1.49   	0.430	
191 	20/02/2019	73.6 	103     	1511  	4.63	2.90   	2.19   	0.480	
192 	21/02/2019	79.0 	103     	1521  	4.37	2.80   	2.23   	0.360	
193 	22/02/2019	107.6	94      	1472  	4.60	2.94   	1.93   	0.980	
194 	23/02/2019	66.8 	74      	1531  	4.58	2.89   	2.34   	0.380	
195 	24/02/2019	75.3 	88      	1543  	4.69	3.07   	1.44   	0.330	
196 	25/02/2019	72.9 	95      	1602  	4.95	2.90   	2.28   	0.900	
197 	26/02/2019	67.3 	99      	1465  	4.72	2.76   	1.77   	0.570	
198 	27/02/2019	60.2 	92      	1483  	4.65	3.03   	2.21   	0.410	
199 	28/02/2019	67.8 	91      	1546  	4.70	3.16   	1.34   	0.510	
200 	01/03/2019	71.7 	86      	1536  	4.45	2.81   	1.90   	0.390	
201 	02/03/2019	77.6 	75      	1563  	4.51	2.95   	2.01   	0.370	
202 	03/03/2019	77.9 	96      	1500  	4.29	2.84   	2.55   	0.470	
203 	04/03/2019	84.1 	77      	1561  	4.40	2.85   	2.16   	0.360	
204 	05/03/2019	89.1 	128     	1504  	4.64	2.77   	1.70   	0.310	
205 	06/03/2019	79.0 	96      	1560  	4.44	2.80   	2.10   	0.440	
206 	07/03/2019	85.2 	119     	1592  	4.58	2.69   	2.57   	0.420	
207 	08/03/2019	79.2 	83      	1577  	4.19	2.83   	1.93   	0.520	
208 	09/03/2019	77.4 	82      	1569  	4.25	3.03   	1.39   	0.420	
209 	10/03/2019	75.8 	87      	1584  	4.45	2.81   	1.72   	0.350	
210 	11/03/2019	74.3 	83      	1566  	4.51	2.86   	2.11   	0.570	
211 	12/03/2019	76.2 	84      	1584  	4.63	3.34   	1.86   	0.790	
212 	13/03/2019	65.0 	89      	1575  	4.67	2.64   	2.01   	0.650	
213 	14/03/2019	66.9 	92      	1485  	4.49	2.96   	1.71   	0.730	
214 	15/03/2019	64.4 	109     	1626  	4.71	3.14   	1.47   	0.370	
215 	16/03/2019	62.7 	98      	1538  	4.40	3.52   	2.08   	0.500	
216 	17/03/2019	69.5 	108     	1519  	4.90	3.28   	1.54   	0.750	
217 	18/03/2019	70.4 	83      	1591  	4.70	2.78   	2.01   	0.630	
