
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
205 	05/02/2019	81.1 	136     	1709  	4.87	2.98   	1.55   	0.340	
206 	06/02/2019	80.6 	93      	1735  	4.82	3.02   	2.47   	0.350	
207 	07/02/2019	88.1 	94      	1751  	4.53	3.13   	1.97   	0.400	
208 	08/02/2019	84.7 	97      	1724  	4.71	2.92   	2.26   	0.360	
209 	09/02/2019	81.5 	99      	1712  	4.86	2.74   	2.02   	0.500	
210 	10/02/2019	76.2 	88      	--    	4.76	3.29   	2.13   	0.530	
211 	11/02/2019	70.0 	146     	1619  	4.73	3.22   	2.46   	0.360	
212 	12/02/2019	75.4 	100     	1682  	4.59	3.03   	2.26   	0.430	
213 	13/02/2019	71.1 	103     	1714  	5.32	2.66   	2.31   	0.620	
214 	14/02/2019	78.5 	92      	1874  	4.57	3.43   	1.66   	0.410	
215 	15/02/2019	80.7 	99      	1703  	4.63	2.94   	1.92   	0.410	
216 	16/02/2019	71.6 	101     	1733  	4.78	2.86   	1.71   	0.510	
217 	17/02/2019	74.4 	78      	1742  	4.55	3.00   	1.99   	0.380	
218 	18/02/2019	72.3 	94      	1726  	4.79	3.17   	2.29   	0.460	
219 	19/02/2019	73.3 	85      	1753  	4.60	2.80   	1.95   	0.420	
220 	20/02/2019	69.6 	160     	1725  	4.73	3.00   	2.04   	0.800	
221 	21/02/2019	76.0 	119     	--    	4.57	3.31   	1.86   	0.580	
222 	22/02/2019	117.5	98      	1723  	4.66	3.02   	1.96   	0.410	
223 	23/02/2019	88.9 	98      	--    	4.67	2.77   	2.20   	0.450	
224 	24/02/2019	71.9 	100     	1724  	4.68	2.90   	1.86   	0.400	
225 	25/02/2019	81.4 	93      	1788  	4.75	2.98   	2.11   	0.560	
226 	26/02/2019	82.8 	118     	1729  	4.35	3.02   	2.22   	0.360	
227 	27/02/2019	75.1 	115     	1709  	4.50	2.77   	1.65   	0.380	
228 	28/02/2019	85.2 	101     	1748  	4.61	2.78   	2.30   	0.440	
229 	01/03/2019	74.9 	98      	1745  	4.54	2.70   	2.07   	0.410	
230 	02/03/2019	80.5 	86      	1742  	4.54	3.03   	1.95   	0.810	
231 	03/03/2019	84.5 	85      	1802  	4.53	2.92   	1.91   	0.400	
232 	04/03/2019	76.2 	82      	1774  	4.40	3.17   	1.80   	0.320	
233 	05/03/2019	80.9 	129     	1673  	4.67	3.07   	2.26   	0.430	
234 	06/03/2019	74.4 	105     	--    	4.68	2.99   	1.82   	0.400	
235 	07/03/2019	83.4 	111     	1786  	4.42	3.02   	1.63   	0.360	
236 	08/03/2019	77.9 	132     	1773  	4.39	3.16   	1.63   	0.430	
237 	09/03/2019	65.8 	118     	1701  	4.72	2.78   	1.62   	0.390	
238 	10/03/2019	65.8 	93      	--    	4.33	3.16   	2.10   	0.350	
239 	11/03/2019	85.3 	98      	1742  	4.11	3.53   	1.88   	0.370	
240 	12/03/2019	79.8 	124     	1772  	4.42	3.42   	1.62   	0.390	
241 	13/03/2019	73.2 	103     	1729  	5.20	2.91   	2.43   	0.490	
242 	14/03/2019	71.3 	130     	--    	4.62	3.10   	2.04   	0.320	
243 	15/03/2019	85.3 	133     	--    	4.63	2.88   	1.75   	0.350	
244 	16/03/2019	74.4 	135     	1772  	4.51	3.13   	1.75   	0.530	
245 	17/03/2019	101.8	110     	1805  	4.65	3.32   	1.71   	0.330	
246 	18/03/2019	73.7 	92      	1750  	4.99	2.82   	2.53   	0.470	
