
Days	Date      	Milk	Activity	Weight	Fat 	Protein	Lactose	Blood	
213 	05/02/2019	--  	81      	--    	--  	--     	--     	--   	
214 	06/02/2019	--  	102     	1516  	--  	--     	--     	--   	
215 	07/02/2019	--  	83      	1558  	--  	--     	--     	--   	
216 	08/02/2019	--  	88      	1555  	--  	--     	--     	--   	
217 	09/02/2019	--  	102     	1502  	--  	--     	--     	--   	
218 	10/02/2019	--  	85      	1492  	--  	--     	--     	--   	
219 	11/02/2019	--  	182     	1569  	--  	--     	--     	--   	
220 	12/02/2019	--  	65      	1536  	--  	--     	--     	--   	
221 	13/02/2019	--  	91      	1538  	--  	--     	--     	--   	
222 	14/02/2019	--  	98      	1575  	--  	--     	--     	--   	
223 	15/02/2019	--  	72      	1572  	--  	--     	--     	--   	
224 	16/02/2019	--  	79      	1612  	--  	--     	--     	--   	
225 	17/02/2019	--  	76      	1628  	--  	--     	--     	--   	
226 	18/02/2019	--  	137     	1629  	--  	--     	--     	--   	
227 	19/02/2019	--  	90      	1623  	--  	--     	--     	--   	
228 	20/02/2019	--  	135     	1593  	--  	--     	--     	--   	
229 	21/02/2019	--  	101     	1593  	--  	--     	--     	--   	
230 	22/02/2019	--  	92      	1573  	--  	--     	--     	--   	
231 	23/02/2019	24.3	84      	1624  	4.28	2.53   	2.05   	0.440	
232 	24/02/2019	23.2	99      	1547  	5.25	3.76   	1.69   	0.330	
233 	25/02/2019	--  	107     	1681  	--  	--     	--     	--   	
234 	26/02/2019	--  	103     	1608  	--  	--     	--     	--   	
235 	27/02/2019	--  	119     	1619  	--  	--     	--     	--   	
236 	28/02/2019	21.6	117     	1652  	4.92	2.82   	1.76   	0.340	
237 	01/03/2019	--  	108     	1613  	--  	--     	--     	--   	
238 	02/03/2019	--  	102     	1590  	--  	--     	--     	--   	
239 	03/03/2019	--  	81      	1648  	--  	--     	--     	--   	
240 	04/03/2019	--  	88      	1627  	--  	--     	--     	--   	
241 	05/03/2019	--  	96      	1540  	--  	--     	--     	--   	
242 	06/03/2019	--  	108     	1560  	--  	--     	--     	--   	
243 	07/03/2019	47.8	102     	--    	4.77	3.46   	1.74   	0.310	
244 	08/03/2019	27.9	88      	1604  	4.84	3.60   	1.65   	0.000	
245 	09/03/2019	24.9	122     	1604  	5.69	2.72   	1.88   	0.330	
246 	10/03/2019	18.6	85      	1629  	4.56	2.65   	1.99   	0.430	
247 	11/03/2019	36.0	93      	1619  	--  	--     	--     	--   	
248 	12/03/2019	48.5	95      	1658  	5.29	3.38   	1.69   	0.440	
249 	13/03/2019	35.5	78      	1639  	5.38	2.82   	1.73   	0.390	
250 	14/03/2019	37.4	90      	1642  	5.07	3.07   	1.79   	0.340	
251 	15/03/2019	33.5	101     	1700  	4.59	2.77   	1.71   	0.400	
252 	16/03/2019	37.5	94      	1642  	5.03	3.12   	1.93   	0.370	
253 	17/03/2019	44.0	99      	1623  	5.24	3.15   	2.20   	0.750	
254 	18/03/2019	37.9	106     	1673  	5.10	3.11   	1.83   	0.480	
