
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
195 	05/02/2019	70.9 	118     	1262  	4.04	3.15   	2.11   	0.330	
196 	06/02/2019	77.4 	78      	1262  	3.94	2.85   	2.24   	0.440	
197 	07/02/2019	84.8 	93      	1359  	4.41	2.57   	2.40   	0.420	
198 	08/02/2019	88.0 	93      	1301  	3.88	2.77   	2.34   	0.440	
199 	09/02/2019	80.2 	99      	1300  	4.43	2.82   	2.47   	0.720	
200 	10/02/2019	80.4 	101     	1267  	4.08	2.72   	1.85   	0.650	
201 	11/02/2019	75.2 	178     	1295  	4.31	2.94   	2.36   	0.630	
202 	12/02/2019	83.0 	87      	1250  	4.29	2.69   	2.25   	0.640	
203 	13/02/2019	79.0 	111     	1302  	3.89	3.11   	2.25   	0.370	
204 	14/02/2019	84.3 	106     	1340  	4.17	2.81   	2.04   	0.650	
205 	15/02/2019	80.2 	84      	1310  	4.20	3.14   	2.29   	0.480	
206 	16/02/2019	83.8 	104     	1308  	4.32	2.67   	2.02   	0.660	
207 	17/02/2019	69.1 	100     	1282  	4.14	3.02   	1.70   	0.960	
208 	18/02/2019	72.6 	116     	1304  	4.15	2.90   	2.18   	0.360	
209 	19/02/2019	76.2 	131     	1288  	4.34	2.60   	2.16   	0.520	
210 	20/02/2019	87.3 	76      	1309  	4.15	2.46   	2.04   	0.440	
211 	21/02/2019	85.0 	88      	1285  	4.25	2.62   	2.06   	0.390	
212 	22/02/2019	118.2	92      	1291  	4.23	2.76   	2.07   	0.380	
213 	23/02/2019	70.6 	86      	1265  	4.47	2.32   	2.39   	0.670	
214 	24/02/2019	74.8 	92      	1308  	4.31	2.86   	2.31   	0.410	
215 	25/02/2019	77.1 	90      	1341  	4.29	2.80   	2.32   	0.430	
216 	26/02/2019	76.9 	113     	1282  	4.27	2.56   	2.03   	0.330	
217 	27/02/2019	77.9 	92      	1295  	4.09	2.98   	2.30   	0.420	
218 	28/02/2019	79.5 	60      	1306  	4.29	2.95   	2.06   	0.470	
219 	01/03/2019	82.8 	95      	1296  	4.10	2.61   	1.92   	0.450	
220 	02/03/2019	74.2 	99      	1290  	4.30	2.50   	1.96   	0.300	
221 	03/03/2019	68.5 	110     	1332  	4.24	2.65   	1.75   	0.320	
222 	04/03/2019	71.8 	117     	1320  	4.40	2.71   	1.94   	0.390	
223 	05/03/2019	74.9 	112     	1257  	4.32	3.08   	1.91   	0.310	
224 	06/03/2019	63.5 	130     	1262  	4.57	2.57   	1.72   	0.460	
225 	07/03/2019	63.2 	111     	1263  	4.10	3.69   	2.16   	0.560	
226 	08/03/2019	68.3 	126     	1293  	4.54	3.13   	1.86   	0.330	
227 	09/03/2019	57.9 	106     	1295  	4.34	2.95   	1.85   	0.490	
228 	10/03/2019	73.5 	67      	1315  	4.57	2.64   	2.15   	1.010	
229 	11/03/2019	77.0 	97      	1322  	4.50	2.50   	2.26   	0.450	
230 	12/03/2019	71.6 	92      	1288  	4.47	2.87   	1.89   	0.350	
231 	13/03/2019	88.9 	94      	1315  	4.48	3.06   	1.81   	0.320	
232 	14/03/2019	74.8 	100     	1289  	4.45	3.11   	2.18   	0.630	
233 	15/03/2019	73.7 	99      	1307  	4.20	2.99   	2.08   	0.740	
234 	16/03/2019	71.7 	90      	1295  	4.29	2.61   	1.90   	0.430	
235 	17/03/2019	74.0 	114     	1264  	4.12	2.94   	1.68   	0.300	
236 	18/03/2019	75.4 	132     	1323  	4.08	3.16   	1.63   	0.360	
