
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
221 	05/02/2019	85.9 	159     	1398  	3.72	3.37   	2.02   	0.860	
222 	06/02/2019	92.0 	106     	1456  	3.88	2.86   	2.29   	0.480	
223 	07/02/2019	97.6 	94      	1428  	4.30	3.06   	2.36   	0.610	
224 	08/02/2019	94.6 	101     	1430  	4.03	2.60   	2.08   	0.990	
225 	09/02/2019	95.0 	124     	1397  	3.76	3.37   	2.58   	0.380	
226 	10/02/2019	93.9 	111     	1382  	4.14	3.23   	2.15   	0.870	
227 	11/02/2019	66.6 	280     	1384  	4.73	3.19   	1.36   	0.750	
228 	12/02/2019	79.5 	134     	1489  	4.01	4.04   	1.88   	1.240	
229 	13/02/2019	85.7 	136     	1428  	4.24	3.04   	2.26   	1.150	
230 	14/02/2019	100.5	126     	1472  	3.99	3.83   	1.58   	0.800	
231 	15/02/2019	103.5	111     	1422  	4.51	2.69   	2.55   	0.990	
232 	16/02/2019	94.9 	107     	1444  	4.41	2.58   	2.35   	1.030	
233 	17/02/2019	89.6 	79      	1433  	4.20	3.12   	2.32   	0.680	
234 	18/02/2019	88.4 	62      	1406  	4.11	3.04   	2.07   	0.850	
235 	19/02/2019	92.5 	89      	1462  	4.34	2.85   	2.43   	0.790	
236 	20/02/2019	96.7 	134     	1423  	4.17	2.79   	2.60   	1.010	
237 	21/02/2019	90.3 	123     	1396  	4.60	3.04   	1.81   	1.420	
238 	22/02/2019	134.8	125     	1351  	4.34	2.87   	2.32   	0.770	
239 	23/02/2019	85.0 	110     	1397  	4.27	2.71   	2.36   	0.520	
240 	24/02/2019	83.6 	157     	1397  	4.43	2.79   	2.32   	0.850	
241 	25/02/2019	82.0 	149     	1441  	4.31	2.59   	1.92   	0.950	
242 	26/02/2019	82.4 	160     	1370  	4.46	3.18   	1.76   	0.620	
243 	27/02/2019	83.4 	93      	1344  	4.74	2.66   	2.35   	0.390	
244 	28/02/2019	54.9 	130     	1389  	4.74	3.09   	2.38   	0.680	
245 	01/03/2019	58.8 	48      	1398  	5.15	2.66   	2.19   	0.390	
246 	02/03/2019	62.7 	92      	1390  	5.11	3.08   	1.28   	0.890	
247 	03/03/2019	67.1 	117     	1428  	4.33	2.37   	2.48   	0.490	
248 	04/03/2019	81.8 	78      	1451  	4.65	3.12   	1.96   	0.860	
249 	05/03/2019	87.6 	104     	1375  	4.51	2.80   	2.21   	0.480	
250 	06/03/2019	99.8 	93      	1408  	4.50	2.84   	1.70   	0.580	
251 	07/03/2019	88.1 	73      	1436  	4.34	3.16   	2.19   	0.960	
252 	08/03/2019	96.2 	68      	1417  	4.34	2.67   	2.27   	0.880	
253 	09/03/2019	94.4 	95      	1406  	4.71	2.77   	2.05   	0.640	
254 	10/03/2019	82.3 	62      	1374  	4.24	2.75   	2.06   	0.960	
255 	11/03/2019	90.7 	70      	1399  	4.10	2.83   	2.12   	1.170	
256 	12/03/2019	97.7 	89      	1453  	4.00	2.57   	2.42   	0.910	
257 	13/03/2019	93.1 	78      	1390  	4.39	2.61   	2.48   	0.750	
258 	14/03/2019	93.3 	72      	1439  	4.28	2.36   	2.41   	0.620	
259 	15/03/2019	94.4 	80      	1439  	4.42	2.37   	2.55   	0.750	
260 	16/03/2019	94.2 	79      	1392  	4.39	2.92   	2.45   	0.700	
261 	17/03/2019	102.3	80      	1394  	4.32	2.51   	2.33   	0.670	
262 	18/03/2019	91.2 	58      	1371  	4.48	2.99   	1.85   	0.880	
