
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
190 	05/02/2019	67.5 	145     	1420  	4.14	3.76   	2.04   	0.580	
191 	06/02/2019	84.5 	130     	1449  	4.10	3.29   	1.92   	0.350	
192 	07/02/2019	90.9 	117     	1476  	4.04	3.37   	2.28   	0.790	
193 	08/02/2019	84.7 	131     	1443  	4.00	3.26   	2.21   	0.360	
194 	09/02/2019	80.4 	138     	1449  	4.33	2.87   	1.92   	0.360	
195 	10/02/2019	77.5 	131     	1449  	4.13	3.18   	1.99   	0.500	
196 	11/02/2019	77.0 	206     	1476  	4.38	3.05   	2.01   	0.450	
197 	12/02/2019	82.9 	99      	1465  	3.98	3.18   	2.00   	0.390	
198 	13/02/2019	77.1 	133     	1473  	4.04	3.61   	2.08   	0.400	
199 	14/02/2019	85.2 	96      	1564  	4.38	2.67   	1.85   	0.380	
200 	15/02/2019	95.5 	112     	1473  	4.16	2.64   	2.47   	0.420	
201 	16/02/2019	81.9 	122     	1473  	4.43	2.99   	2.28   	0.470	
202 	17/02/2019	79.9 	94      	--    	4.26	3.12   	2.20   	0.440	
203 	18/02/2019	79.4 	159     	1487  	4.53	2.64   	2.06   	0.300	
204 	19/02/2019	93.5 	129     	1487  	4.45	2.49   	2.03   	0.400	
205 	20/02/2019	89.8 	175     	1518  	4.29	2.81   	1.89   	0.310	
206 	21/02/2019	93.5 	136     	1558  	4.32	2.80   	1.97   	0.360	
207 	22/02/2019	130.5	112     	1470  	4.35	2.78   	2.13   	0.350	
208 	23/02/2019	87.1 	110     	1494  	4.13	3.23   	1.96   	0.320	
209 	24/02/2019	90.3 	--      	--    	4.19	2.75   	1.96   	0.450	
210 	25/02/2019	91.8 	--      	--    	3.88	2.75   	1.91   	0.270	
211 	26/02/2019	98.7 	--      	--    	4.21	2.89   	2.00   	0.720	
212 	27/02/2019	88.3 	--      	--    	3.80	2.95   	1.92   	0.320	
213 	28/02/2019	97.1 	--      	--    	4.34	2.65   	2.05   	0.350	
214 	01/03/2019	52.1 	--      	--    	4.42	2.62   	1.97   	0.290	
215 	02/03/2019	43.5 	--      	--    	3.94	3.13   	2.12   	0.310	
216 	03/03/2019	46.9 	--      	--    	4.11	3.01   	2.04   	0.000	
217 	04/03/2019	88.9 	--      	--    	4.27	2.94   	2.05   	0.630	
218 	05/03/2019	90.4 	--      	--    	4.36	2.59   	2.28   	0.440	
219 	06/03/2019	85.5 	--      	--    	4.15	2.81   	1.91   	0.410	
220 	07/03/2019	109.8	--      	--    	4.38	2.84   	2.47   	0.420	
221 	08/03/2019	92.2 	--      	--    	4.28	2.93   	1.92   	0.450	
222 	09/03/2019	85.4 	--      	--    	4.22	2.97   	2.14   	0.290	
223 	10/03/2019	80.2 	--      	--    	3.90	3.44   	2.47   	0.400	
224 	11/03/2019	88.6 	--      	--    	4.28	2.38   	2.18   	0.440	
225 	12/03/2019	77.5 	--      	--    	4.37	2.67   	2.18   	0.380	
226 	13/03/2019	75.8 	--      	--    	4.25	3.19   	2.21   	0.430	
227 	14/03/2019	86.4 	--      	--    	4.46	2.64   	2.31   	0.410	
228 	15/03/2019	78.2 	--      	--    	4.31	2.94   	1.44   	0.470	
229 	16/03/2019	71.5 	--      	--    	4.50	2.75   	2.11   	0.380	
230 	17/03/2019	78.4 	--      	--    	4.25	2.94   	1.71   	0.390	
231 	18/03/2019	79.9 	--      	--    	4.33	3.00   	1.65   	0.710	
