
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
166 	05/02/2019	75.3 	244     	1311  	4.19	3.21   	1.90   	0.340	
167 	06/02/2019	76.2 	190     	1310  	4.33	2.67   	2.27   	0.730	
168 	07/02/2019	80.5 	185     	1295  	4.21	3.24   	2.41   	0.620	
169 	08/02/2019	78.8 	268     	1327  	3.53	3.73   	2.20   	0.450	
170 	09/02/2019	80.4 	222     	1310  	3.91	3.24   	2.10   	0.460	
171 	10/02/2019	73.9 	385     	1313  	3.45	3.85   	2.43   	0.600	
172 	11/02/2019	73.9 	159     	1304  	4.16	3.18   	2.23   	0.380	
173 	12/02/2019	75.9 	221     	1301  	4.58	2.54   	2.19   	0.550	
174 	13/02/2019	74.7 	169     	1318  	4.29	3.00   	2.17   	0.700	
175 	14/02/2019	72.6 	217     	1354  	4.21	2.71   	2.45   	0.560	
176 	15/02/2019	79.2 	178     	1299  	4.40	2.86   	2.08   	0.380	
177 	16/02/2019	76.4 	204     	1307  	4.24	2.85   	2.39   	0.420	
178 	17/02/2019	77.8 	247     	1301  	3.63	3.55   	2.20   	0.440	
179 	18/02/2019	68.0 	147     	1337  	4.05	3.13   	1.92   	0.630	
180 	19/02/2019	79.9 	200     	--    	3.74	3.77   	2.65   	0.480	
181 	20/02/2019	74.7 	214     	1256  	4.02	3.12   	2.36   	0.390	
182 	21/02/2019	74.6 	165     	1280  	4.30	2.90   	2.61   	1.240	
183 	22/02/2019	109.3	154     	1269  	4.05	3.14   	2.32   	0.380	
184 	23/02/2019	67.8 	113     	1280  	4.53	2.64   	2.01   	0.550	
185 	24/02/2019	69.7 	94      	1217  	4.19	2.82   	2.36   	0.420	
186 	25/02/2019	68.0 	134     	1335  	3.82	3.61   	1.79   	0.860	
187 	26/02/2019	62.8 	114     	1260  	4.45	3.04   	2.31   	0.440	
188 	27/02/2019	60.3 	129     	1286  	4.41	3.12   	2.03   	0.580	
189 	28/02/2019	70.1 	141     	1276  	4.39	2.87   	2.35   	0.460	
190 	01/03/2019	84.0 	100     	1290  	4.51	2.70   	2.55   	0.400	
191 	02/03/2019	73.8 	100     	1291  	4.40	2.91   	2.68   	0.390	
192 	03/03/2019	75.8 	130     	1298  	4.25	2.67   	2.44   	0.440	
193 	04/03/2019	72.3 	99      	1295  	4.26	2.91   	2.35   	0.410	
194 	05/03/2019	77.6 	113     	1309  	4.45	3.15   	2.03   	0.690	
195 	06/03/2019	75.8 	118     	1315  	4.12	3.08   	2.30   	0.750	
196 	07/03/2019	97.8 	103     	1297  	4.50	2.73   	2.16   	0.430	
197 	08/03/2019	69.4 	111     	1320  	4.35	2.83   	2.16   	0.400	
198 	09/03/2019	69.7 	122     	1310  	4.14	2.92   	2.38   	0.880	
199 	10/03/2019	69.1 	87      	1328  	4.35	3.01   	2.46   	0.450	
200 	11/03/2019	75.3 	107     	1360  	4.37	2.68   	2.34   	0.710	
201 	12/03/2019	82.6 	118     	1316  	4.50	2.71   	2.16   	0.410	
202 	13/03/2019	63.2 	115     	1287  	3.64	3.56   	2.32   	0.670	
203 	14/03/2019	68.7 	122     	1332  	4.56	2.55   	2.32   	0.450	
204 	15/03/2019	71.1 	126     	1405  	4.49	2.55   	2.18   	0.490	
205 	16/03/2019	60.6 	156     	1256  	3.75	3.77   	2.13   	0.410	
206 	17/03/2019	64.9 	162     	1312  	4.15	3.67   	1.91   	0.730	
207 	18/03/2019	55.1 	122     	1327  	3.96	3.57   	2.52   	0.430	
