
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
185 	05/02/2019	70.5 	126     	1814  	4.68	3.15   	2.48   	0.370	
186 	06/02/2019	85.1 	85      	1781  	4.70	2.82   	2.36   	0.550	
187 	07/02/2019	81.9 	134     	1877  	4.35	3.94   	2.36   	0.400	
188 	08/02/2019	71.6 	113     	1967  	4.22	3.78   	2.15   	0.370	
189 	09/02/2019	80.6 	149     	1785  	5.04	3.02   	2.81   	0.460	
190 	10/02/2019	75.4 	160     	1774  	5.12	2.95   	2.10   	0.390	
191 	11/02/2019	51.9 	154     	1857  	5.38	3.65   	1.90   	0.440	
192 	12/02/2019	70.2 	124     	1808  	5.05	3.06   	2.26   	0.430	
193 	13/02/2019	70.4 	126     	1824  	4.25	3.99   	2.20   	0.390	
194 	14/02/2019	83.5 	131     	1778  	5.11	2.81   	2.11   	0.360	
195 	15/02/2019	69.7 	169     	1784  	4.94	2.84   	2.54   	0.350	
196 	16/02/2019	77.0 	124     	1751  	4.83	2.96   	2.11   	0.380	
197 	17/02/2019	66.0 	160     	1791  	4.46	2.96   	2.21   	0.330	
198 	18/02/2019	68.9 	132     	1879  	4.82	2.98   	2.17   	0.380	
199 	19/02/2019	69.6 	146     	1839  	4.51	3.32   	2.09   	0.360	
200 	20/02/2019	70.5 	82      	1846  	3.97	3.95   	2.22   	0.350	
201 	21/02/2019	68.6 	134     	--    	3.96	3.97   	2.04   	0.440	
202 	22/02/2019	108.6	53      	1808  	4.48	3.22   	2.19   	0.360	
203 	23/02/2019	80.1 	70      	1828  	4.21	2.97   	2.33   	0.330	
204 	24/02/2019	82.4 	64      	1794  	4.51	3.03   	2.13   	0.340	
205 	25/02/2019	77.9 	69      	1828  	4.62	2.81   	2.19   	0.390	
206 	26/02/2019	70.1 	76      	1834  	4.91	2.78   	2.35   	0.800	
207 	27/02/2019	65.9 	76      	--    	4.55	3.19   	2.31   	0.420	
208 	28/02/2019	67.4 	68      	1780  	4.62	2.95   	2.54   	0.650	
209 	01/03/2019	59.6 	91      	1827  	4.64	2.98   	1.86   	0.340	
210 	02/03/2019	62.7 	68      	1830  	4.62	3.28   	1.76   	0.400	
211 	03/03/2019	60.6 	71      	1833  	5.00	2.75   	2.33   	0.340	
212 	04/03/2019	61.9 	63      	1880  	4.96	2.91   	2.06   	0.420	
213 	05/03/2019	70.2 	69      	1803  	4.93	2.85   	2.48   	0.390	
214 	06/03/2019	50.7 	83      	1814  	4.89	3.20   	2.14   	0.490	
215 	07/03/2019	55.2 	81      	1828  	4.33	3.81   	2.21   	0.380	
216 	08/03/2019	61.9 	87      	1840  	5.17	2.83   	2.36   	0.360	
217 	09/03/2019	62.1 	70      	1836  	5.21	3.05   	2.09   	0.690	
218 	10/03/2019	73.6 	60      	1861  	5.21	3.00   	2.11   	0.450	
219 	11/03/2019	66.3 	86      	1898  	4.86	2.80   	2.46   	0.640	
220 	12/03/2019	57.1 	94      	1872  	4.08	3.82   	2.21   	0.430	
221 	13/03/2019	59.8 	76      	1791  	4.61	3.25   	2.16   	0.390	
222 	14/03/2019	61.5 	78      	1943  	4.24	3.80   	2.02   	0.420	
223 	15/03/2019	64.5 	79      	1998  	4.57	3.08   	2.07   	0.350	
224 	16/03/2019	61.3 	86      	1872  	4.51	3.33   	1.66   	0.380	
225 	17/03/2019	58.7 	82      	1830  	4.67	2.98   	1.95   	0.430	
226 	18/03/2019	59.4 	85      	1946  	4.90	3.10   	2.00   	0.480	
