
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
223 	05/02/2019	68.3 	157     	1367  	4.25	2.81   	2.17   	0.390	
224 	06/02/2019	83.3 	91      	1317  	4.06	2.57   	2.19   	0.390	
225 	07/02/2019	71.8 	90      	1395  	4.16	2.98   	2.23   	0.350	
226 	08/02/2019	60.5 	99      	1350  	4.55	2.38   	2.31   	0.590	
227 	09/02/2019	51.9 	81      	1284  	4.97	2.88   	2.27   	0.370	
228 	10/02/2019	56.3 	89      	1355  	5.04	2.81   	2.38   	0.490	
229 	11/02/2019	55.0 	189     	1376  	5.23	2.96   	2.52   	0.400	
230 	12/02/2019	62.9 	68      	1311  	4.89	2.72   	2.32   	0.400	
231 	13/02/2019	35.7 	98      	1299  	5.11	2.72   	1.45   	0.320	
232 	14/02/2019	61.0 	73      	1398  	4.86	2.75   	2.39   	0.410	
233 	15/02/2019	63.8 	69      	1373  	5.27	3.03   	2.41   	0.700	
234 	16/02/2019	72.0 	80      	1368  	4.30	2.60   	2.38   	0.370	
235 	17/02/2019	75.1 	73      	1396  	4.57	2.83   	2.38   	0.370	
236 	18/02/2019	73.0 	79      	1370  	4.74	2.42   	2.39   	0.670	
237 	19/02/2019	75.7 	90      	1436  	4.76	2.63   	1.94   	0.780	
238 	20/02/2019	72.9 	109     	1406  	4.75	2.62   	2.13   	0.910	
239 	21/02/2019	81.7 	83      	1411  	4.34	2.55   	2.18   	0.840	
240 	22/02/2019	112.5	85      	1357  	4.66	2.66   	2.25   	0.430	
241 	23/02/2019	86.4 	87      	1373  	4.85	2.88   	2.16   	0.840	
242 	24/02/2019	77.4 	80      	1385  	5.10	2.78   	2.19   	0.950	
243 	25/02/2019	85.0 	70      	1458  	5.27	2.78   	2.22   	0.910	
244 	26/02/2019	82.8 	78      	1345  	4.73	2.67   	2.25   	0.960	
245 	27/02/2019	82.2 	70      	1345  	4.36	2.80   	2.17   	0.490	
246 	28/02/2019	79.4 	73      	1384  	4.40	2.92   	2.04   	0.510	
247 	01/03/2019	68.9 	64      	1334  	4.71	2.72   	2.20   	0.510	
248 	02/03/2019	66.7 	96      	1395  	4.61	3.15   	2.31   	0.800	
249 	03/03/2019	64.9 	101     	1419  	4.51	2.94   	1.82   	0.340	
250 	04/03/2019	77.5 	91      	--    	4.65	3.09   	1.72   	0.250	
251 	05/03/2019	66.2 	89      	1261  	4.82	3.08   	1.78   	0.290	
252 	06/03/2019	68.8 	112     	1326  	4.41	2.83   	2.06   	0.380	
253 	07/03/2019	61.7 	132     	1346  	4.42	2.64   	2.44   	0.390	
254 	08/03/2019	52.2 	155     	1364  	4.86	2.63   	2.43   	0.750	
255 	09/03/2019	48.8 	90      	1397  	5.34	3.13   	2.23   	0.430	
256 	10/03/2019	54.2 	61      	1395  	4.97	2.67   	1.95   	0.360	
257 	11/03/2019	56.9 	66      	1392  	4.63	2.74   	2.24   	0.510	
258 	12/03/2019	60.4 	69      	1385  	4.97	3.10   	2.23   	0.540	
259 	13/03/2019	61.9 	74      	1401  	4.67	2.62   	2.44   	0.380	
260 	14/03/2019	71.1 	94      	1433  	4.71	3.31   	1.67   	0.370	
261 	15/03/2019	74.3 	77      	1408  	4.61	3.13   	1.83   	0.420	
262 	16/03/2019	59.0 	83      	1426  	4.44	2.75   	2.21   	0.860	
263 	17/03/2019	64.3 	91      	1416  	4.74	2.37   	2.10   	0.400	
264 	18/03/2019	64.9 	60      	1422  	4.79	2.95   	2.12   	0.400	
