
Days	Date      	Milk	Activity	Weight	Fat 	Protein	Lactose	Blood	
216 	05/02/2019	60.9	106     	1432  	4.31	3.13   	2.15   	0.370	
217 	06/02/2019	64.6	76      	1401  	4.22	3.02   	2.16   	0.480	
218 	07/02/2019	77.0	89      	1458  	4.34	2.69   	2.26   	0.470	
219 	08/02/2019	67.9	65      	1452  	4.36	2.68   	2.27   	0.450	
220 	09/02/2019	67.6	80      	1388  	4.21	3.11   	2.10   	0.330	
221 	10/02/2019	67.9	89      	1463  	4.29	3.03   	2.45   	0.440	
222 	11/02/2019	66.3	128     	1461  	4.53	2.65   	2.18   	0.460	
223 	12/02/2019	60.7	64      	1443  	4.23	3.16   	2.29   	0.380	
224 	13/02/2019	61.2	87      	1493  	4.31	2.80   	2.39   	0.430	
225 	14/02/2019	67.0	61      	--    	4.42	3.04   	2.49   	0.420	
226 	15/02/2019	67.0	67      	1471  	4.43	2.90   	2.06   	0.330	
227 	16/02/2019	72.1	58      	1459  	4.36	2.79   	2.52   	0.380	
228 	17/02/2019	60.7	108     	1451  	4.56	2.88   	2.12   	0.350	
229 	18/02/2019	58.4	85      	1498  	4.43	2.80   	1.79   	0.550	
230 	19/02/2019	72.0	64      	1506  	4.69	2.82   	2.07   	0.340	
231 	20/02/2019	68.9	89      	1433  	4.55	2.90   	2.17   	0.440	
232 	21/02/2019	65.7	80      	1476  	4.41	2.73   	2.13   	0.400	
233 	22/02/2019	97.1	76      	1408  	4.49	2.84   	2.13   	0.410	
234 	23/02/2019	67.0	66      	1461  	4.09	2.88   	2.47   	0.320	
235 	24/02/2019	66.6	77      	1453  	4.61	2.95   	2.15   	0.400	
236 	25/02/2019	63.7	79      	1529  	4.18	2.94   	1.95   	0.320	
237 	26/02/2019	62.1	81      	1472  	4.06	3.36   	1.93   	0.420	
238 	27/02/2019	53.1	66      	1438  	3.84	2.87   	1.62   	0.300	
239 	28/02/2019	62.4	69      	1437  	4.45	2.82   	2.58   	0.430	
240 	01/03/2019	54.4	61      	--    	4.32	3.53   	2.43   	0.370	
241 	02/03/2019	59.8	67      	1445  	4.61	2.60   	1.99   	0.710	
242 	03/03/2019	62.4	76      	1454  	4.63	2.57   	2.30   	0.940	
243 	04/03/2019	69.5	60      	1500  	4.38	2.64   	2.24   	0.470	
244 	05/03/2019	70.6	57      	1437  	4.28	2.40   	2.23   	0.620	
245 	06/03/2019	72.4	82      	1464  	4.39	2.66   	2.02   	0.410	
246 	07/03/2019	69.3	64      	1450  	4.33	2.55   	2.21   	0.420	
247 	08/03/2019	68.1	75      	1477  	4.23	2.68   	2.12   	0.330	
248 	09/03/2019	64.2	80      	1482  	4.41	2.51   	2.39   	0.290	
249 	10/03/2019	59.7	63      	1483  	4.53	2.94   	1.64   	0.410	
250 	11/03/2019	62.0	75      	1428  	4.24	2.89   	1.77   	0.480	
251 	12/03/2019	63.3	74      	1502  	4.63	2.51   	2.46   	0.470	
252 	13/03/2019	57.1	80      	1519  	4.54	2.76   	2.10   	0.390	
253 	14/03/2019	56.1	76      	1524  	4.45	3.06   	1.95   	0.380	
254 	15/03/2019	67.7	73      	1518  	4.65	2.81   	1.92   	0.310	
255 	16/03/2019	61.5	94      	1489  	4.42	3.08   	1.61   	0.310	
256 	17/03/2019	64.2	64      	1553  	4.45	2.72   	2.42   	0.500	
257 	18/03/2019	63.8	68      	1514  	4.25	2.90   	2.06   	0.820	
