
Days	Date      	Milk	Activity	Weight	Fat 	Protein	Lactose	Blood	
142 	05/02/2019	52.9	214     	1219  	5.58	3.12   	2.09   	1.000	
143 	06/02/2019	63.9	185     	1260  	3.88	2.56   	2.25   	0.370	
144 	07/02/2019	63.0	167     	1249  	4.95	2.76   	1.75   	0.780	
145 	08/02/2019	63.3	234     	1272  	5.63	2.65   	1.97   	0.850	
146 	09/02/2019	66.8	185     	1247  	4.61	2.62   	1.91   	0.380	
147 	10/02/2019	58.7	289     	1282  	6.01	3.82   	0.81   	1.280	
148 	11/02/2019	35.1	248     	1255  	6.29	3.46   	2.13   	0.690	
149 	12/02/2019	49.4	217     	1264  	5.80	3.52   	2.07   	0.950	
150 	13/02/2019	56.0	198     	1279  	5.46	3.56   	1.26   	0.960	
151 	14/02/2019	58.1	222     	1311  	6.12	3.80   	1.83   	0.860	
152 	15/02/2019	60.5	225     	1249  	6.91	3.43   	1.46   	1.100	
153 	16/02/2019	60.5	205     	1298  	6.51	3.17   	1.48   	1.080	
154 	17/02/2019	65.0	186     	1290  	6.31	3.08   	2.20   	0.690	
155 	18/02/2019	62.5	187     	1315  	4.63	3.36   	1.82   	0.420	
156 	19/02/2019	57.1	214     	1280  	4.93	2.70   	1.84   	0.630	
157 	20/02/2019	61.6	242     	1273  	5.88	3.31   	1.22   	0.910	
158 	21/02/2019	59.6	172     	1247  	5.20	2.79   	2.17   	0.690	
159 	22/02/2019	84.2	128     	1285  	5.78	3.12   	1.76   	1.000	
160 	23/02/2019	64.5	149     	1247  	4.89	3.03   	2.08   	0.400	
161 	24/02/2019	60.2	118     	1273  	6.55	3.24   	1.75   	0.970	
162 	25/02/2019	60.7	198     	1308  	4.59	2.58   	2.62   	0.480	
163 	26/02/2019	60.4	181     	1225  	4.97	2.72   	1.79   	0.420	
164 	27/02/2019	63.9	157     	1257  	5.03	2.96   	1.94   	0.640	
165 	28/02/2019	50.1	116     	1294  	6.98	3.85   	1.82   	1.040	
166 	01/03/2019	56.1	101     	1291  	5.58	3.39   	2.23   	1.030	
167 	02/03/2019	67.1	96      	1277  	5.46	3.12   	1.96   	0.850	
168 	03/03/2019	59.9	133     	1319  	7.03	2.76   	1.61   	0.810	
169 	04/03/2019	63.1	105     	1265  	5.73	3.51   	1.54   	0.820	
170 	05/03/2019	68.5	102     	1257  	6.00	2.80   	2.07   	0.960	
171 	06/03/2019	61.3	128     	1273  	6.14	2.87   	1.60   	0.910	
172 	07/03/2019	65.0	107     	1276  	6.84	3.03   	1.66   	1.560	
173 	08/03/2019	60.8	105     	1304  	6.05	3.37   	1.33   	0.810	
174 	09/03/2019	58.1	119     	1261  	5.51	3.17   	1.91   	1.120	
175 	10/03/2019	53.6	79      	1293  	6.45	3.81   	1.99   	0.800	
176 	11/03/2019	65.2	117     	1307  	4.51	2.88   	1.68   	0.820	
177 	12/03/2019	64.7	99      	1326  	5.38	3.22   	1.84   	0.700	
178 	13/03/2019	60.1	102     	1302  	5.77	3.57   	2.05   	0.810	
179 	14/03/2019	64.7	90      	1327  	5.37	3.17   	1.01   	0.790	
180 	15/03/2019	58.4	123     	1308  	5.91	3.06   	2.28   	0.970	
181 	16/03/2019	63.3	111     	1288  	6.65	3.11   	1.80   	0.960	
182 	17/03/2019	66.8	115     	1308  	5.02	3.66   	1.25   	1.170	
183 	18/03/2019	69.1	125     	1299  	4.16	3.01   	1.90   	0.390	
