
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
167 	05/02/2019	105.1	132     	1499  	4.23	2.69   	2.68   	0.370	
168 	06/02/2019	103.6	75      	1560  	4.19	2.70   	2.29   	0.690	
169 	07/02/2019	105.9	86      	1516  	4.20	2.89   	1.82   	0.390	
170 	08/02/2019	99.9 	93      	1509  	4.23	2.59   	2.52   	0.380	
171 	09/02/2019	107.8	96      	1473  	4.68	3.34   	1.80   	0.370	
172 	10/02/2019	96.9 	80      	1505  	4.67	2.48   	2.01   	0.470	
173 	11/02/2019	92.0 	147     	1499  	4.80	2.82   	2.20   	0.860	
174 	12/02/2019	87.3 	81      	1408  	4.63	2.94   	1.98   	0.390	
175 	13/02/2019	75.6 	122     	1599  	5.17	2.72   	1.85   	0.270	
176 	14/02/2019	92.3 	87      	1515  	5.14	3.07   	2.33   	0.450	
177 	15/02/2019	91.4 	98      	1540  	5.16	2.63   	1.98   	0.630	
178 	16/02/2019	90.5 	72      	1515  	5.00	2.85   	2.08   	0.520	
179 	17/02/2019	94.6 	62      	1465  	4.95	2.76   	2.15   	0.420	
180 	18/02/2019	80.8 	114     	--    	5.52	2.99   	2.14   	0.920	
181 	19/02/2019	102.1	83      	--    	4.67	2.97   	2.19   	0.410	
182 	20/02/2019	100.8	112     	1502  	5.04	2.77   	2.10   	0.510	
183 	21/02/2019	86.3 	97      	--    	4.67	3.15   	1.78   	0.430	
184 	22/02/2019	135.2	136     	1430  	4.97	2.86   	2.08   	0.460	
185 	23/02/2019	82.3 	107     	1454  	4.70	2.74   	2.06   	0.330	
186 	24/02/2019	88.1 	129     	1426  	4.75	2.97   	2.29   	0.430	
187 	25/02/2019	89.9 	109     	--    	4.88	2.95   	1.98   	0.350	
188 	26/02/2019	81.8 	133     	1399  	4.93	2.65   	2.23   	0.280	
189 	27/02/2019	80.6 	122     	1498  	4.80	2.71   	1.71   	0.380	
190 	28/02/2019	82.5 	89      	--    	4.67	2.54   	2.17   	0.550	
191 	01/03/2019	89.3 	103     	1494  	4.81	2.86   	1.73   	0.390	
192 	02/03/2019	105.2	81      	1519  	5.08	2.72   	1.83   	0.330	
193 	03/03/2019	111.2	84      	1492  	4.58	2.66   	2.21   	0.350	
194 	04/03/2019	110.0	84      	1491  	4.81	2.81   	1.90   	0.320	
195 	05/03/2019	108.7	95      	1482  	5.17	3.04   	1.88   	1.030	
196 	06/03/2019	102.3	88      	1506  	5.54	3.29   	2.27   	0.450	
197 	07/03/2019	93.9 	83      	1498  	4.77	2.82   	1.75   	0.330	
198 	08/03/2019	88.6 	90      	1562  	4.88	2.74   	1.64   	0.370	
199 	09/03/2019	99.1 	83      	1540  	4.68	2.59   	2.31   	0.490	
200 	10/03/2019	82.6 	59      	1549  	4.72	2.42   	2.08   	0.450	
201 	11/03/2019	96.9 	86      	1498  	4.77	2.76   	1.50   	0.370	
202 	12/03/2019	85.8 	103     	1552  	4.68	3.60   	1.59   	0.460	
203 	13/03/2019	76.7 	101     	1459  	5.11	2.67   	2.00   	0.540	
204 	14/03/2019	76.4 	86      	1494  	4.88	2.73   	1.94   	0.640	
205 	15/03/2019	74.2 	90      	1577  	4.80	2.76   	2.03   	0.380	
206 	16/03/2019	66.4 	156     	1499  	5.02	3.26   	2.10   	0.430	
207 	17/03/2019	78.3 	85      	1522  	4.85	2.74   	1.91   	0.400	
208 	18/03/2019	76.1 	82      	1552  	4.76	2.84   	1.94   	0.420	
