
Days	Date      	Milk	Activity	Weight	Fat 	Protein	Lactose	Blood	
196 	05/02/2019	65.9	116     	1263  	4.09	2.87   	2.29   	0.420	
197 	06/02/2019	71.6	77      	1306  	4.12	2.99   	2.50   	0.750	
198 	07/02/2019	75.6	79      	1324  	4.59	3.03   	2.00   	0.770	
199 	08/02/2019	72.0	86      	1309  	4.13	2.90   	2.50   	0.460	
200 	09/02/2019	71.9	76      	1284  	4.64	2.70   	2.28   	0.430	
201 	10/02/2019	71.3	84      	1296  	4.43	3.06   	2.34   	0.450	
202 	11/02/2019	43.1	168     	1235  	5.06	2.99   	2.24   	0.440	
203 	12/02/2019	65.6	69      	1311  	4.41	3.20   	2.10   	0.370	
204 	13/02/2019	75.6	75      	1313  	4.91	2.83   	2.67   	0.450	
205 	14/02/2019	74.0	87      	1338  	4.49	3.41   	1.86   	0.330	
206 	15/02/2019	71.9	78      	1352  	4.43	3.47   	1.94   	0.360	
207 	16/02/2019	70.9	73      	1377  	4.44	2.82   	1.95   	0.360	
208 	17/02/2019	68.3	63      	1307  	4.38	2.83   	2.23   	0.390	
209 	18/02/2019	70.3	93      	1359  	4.35	2.70   	2.09   	0.400	
210 	19/02/2019	69.8	89      	1401  	4.20	2.62   	2.45   	0.400	
211 	20/02/2019	68.0	86      	1309  	4.26	2.80   	2.42   	1.020	
212 	21/02/2019	68.3	109     	1320  	4.57	2.79   	2.66   	0.630	
213 	22/02/2019	99.7	85      	1305  	4.38	2.86   	2.24   	0.270	
214 	23/02/2019	68.2	77      	1293  	4.31	2.77   	2.25   	0.390	
215 	24/02/2019	68.8	84      	1307  	4.67	2.91   	2.01   	0.340	
216 	25/02/2019	64.3	100     	1377  	4.27	2.94   	2.32   	0.410	
217 	26/02/2019	71.3	84      	1285  	4.59	2.91   	2.61   	0.480	
218 	27/02/2019	56.0	83      	1295  	4.65	2.76   	2.20   	0.400	
219 	28/02/2019	63.5	70      	1341  	4.08	3.35   	2.04   	0.430	
220 	01/03/2019	77.9	60      	1337  	4.48	3.15   	1.82   	0.300	
221 	02/03/2019	66.3	81      	1293  	4.47	2.76   	2.05   	0.400	
222 	03/03/2019	67.4	108     	1363  	4.21	2.85   	1.64   	0.380	
223 	04/03/2019	74.9	80      	1324  	4.22	2.59   	2.21   	0.860	
224 	05/03/2019	75.1	88      	1308  	4.20	2.70   	2.27   	0.720	
225 	06/03/2019	71.2	92      	1368  	4.39	2.78   	2.31   	0.430	
226 	07/03/2019	78.3	103     	1368  	4.53	3.06   	2.31   	0.540	
227 	08/03/2019	71.7	81      	1370  	4.31	3.09   	2.48   	0.900	
228 	09/03/2019	70.5	61      	1337  	4.39	2.94   	2.52   	0.470	
229 	10/03/2019	65.2	72      	1339  	4.46	2.63   	2.60   	0.580	
230 	11/03/2019	65.4	81      	1367  	4.42	2.86   	2.39   	0.670	
231 	12/03/2019	64.0	72      	1368  	4.51	3.06   	1.98   	0.360	
232 	13/03/2019	65.1	78      	1349  	4.39	3.40   	2.01   	0.460	
233 	14/03/2019	59.3	80      	1345  	4.47	2.82   	2.38   	0.440	
234 	15/03/2019	65.0	83      	1375  	4.56	2.67   	2.38   	0.460	
235 	16/03/2019	74.2	97      	1334  	4.67	2.87   	2.10   	0.400	
236 	17/03/2019	59.2	109     	1298  	4.94	3.04   	2.04   	0.350	
237 	18/03/2019	61.3	77      	1378  	4.55	3.23   	1.70   	0.350	
