
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
190 	05/02/2019	88.3 	129     	1550  	4.47	2.69   	1.97   	0.480	
191 	06/02/2019	98.3 	101     	1569  	4.34	2.42   	2.61   	0.530	
192 	07/02/2019	111.4	95      	1573  	4.53	3.13   	1.91   	0.890	
193 	08/02/2019	112.9	93      	1640  	4.76	2.99   	2.09   	1.100	
194 	09/02/2019	97.9 	207     	1550  	4.14	2.48   	2.30   	0.360	
195 	10/02/2019	96.8 	94      	1573  	4.47	3.04   	2.32   	0.350	
196 	11/02/2019	68.1 	230     	--    	5.39	3.28   	2.24   	0.370	
197 	12/02/2019	102.6	93      	1648  	4.48	2.38   	2.18   	0.380	
198 	13/02/2019	95.4 	105     	1613  	4.57	2.81   	2.20   	1.020	
199 	14/02/2019	88.7 	83      	1642  	4.98	2.69   	2.16   	0.870	
200 	15/02/2019	108.5	82      	1547  	4.94	2.64   	1.89   	0.410	
201 	16/02/2019	107.6	102     	1623  	4.83	2.73   	1.82   	0.450	
202 	17/02/2019	101.8	93      	1643  	5.01	2.53   	2.14   	0.390	
203 	18/02/2019	98.7 	109     	1614  	4.63	2.65   	2.25   	0.370	
204 	19/02/2019	98.4 	126     	1586  	4.91	2.64   	2.07   	0.980	
205 	20/02/2019	89.5 	122     	1527  	5.36	3.03   	1.91   	0.700	
206 	21/02/2019	108.7	91      	1606  	4.59	3.00   	2.02   	0.710	
207 	22/02/2019	143.9	79      	1505  	4.89	2.74   	2.01   	0.350	
208 	23/02/2019	95.7 	93      	1538  	4.68	2.89   	1.88   	0.420	
209 	24/02/2019	93.2 	78      	1571  	4.70	2.82   	1.70   	0.440	
210 	25/02/2019	98.1 	106     	1624  	4.56	2.71   	2.15   	0.350	
211 	26/02/2019	107.6	122     	1546  	4.55	3.08   	2.02   	0.410	
212 	27/02/2019	89.0 	111     	1536  	4.93	3.22   	1.80   	0.370	
213 	28/02/2019	101.1	104     	1581  	5.02	2.99   	1.58   	0.880	
214 	01/03/2019	116.4	91      	1559  	4.87	3.06   	1.55   	0.790	
215 	02/03/2019	98.2 	221     	1549  	4.85	3.10   	2.35   	0.670	
216 	03/03/2019	99.3 	87      	1558  	4.77	3.05   	1.97   	0.700	
217 	04/03/2019	99.7 	74      	1555  	4.98	3.29   	1.90   	1.250	
218 	05/03/2019	96.1 	78      	1531  	5.01	3.89   	2.06   	0.840	
219 	06/03/2019	97.3 	181     	--    	5.00	2.68   	1.53   	0.290	
220 	07/03/2019	94.0 	76      	1591  	5.00	2.97   	1.63   	0.440	
221 	08/03/2019	93.8 	90      	1593  	4.95	3.03   	2.00   	0.760	
222 	09/03/2019	109.3	99      	1580  	5.29	2.84   	1.88   	0.870	
223 	10/03/2019	106.5	65      	1582  	4.65	2.85   	1.71   	0.340	
224 	11/03/2019	91.3 	81      	1586  	4.44	2.68   	2.28   	0.760	
225 	12/03/2019	101.6	66      	1646  	5.14	2.58   	1.98   	1.000	
226 	13/03/2019	89.2 	74      	--    	5.26	3.09   	1.55   	0.410	
227 	14/03/2019	92.5 	78      	1602  	5.21	3.26   	1.64   	0.300	
228 	15/03/2019	64.5 	119     	1613  	5.50	2.46   	2.10   	0.390	
229 	16/03/2019	83.3 	104     	1514  	5.13	2.77   	2.08   	0.530	
230 	17/03/2019	71.6 	138     	1496  	5.42	2.65   	1.93   	0.310	
231 	18/03/2019	65.1 	82      	1601  	5.47	3.45   	1.30   	0.400	
