
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
168 	05/02/2019	85.3 	102     	1593  	4.60	2.85   	2.14   	0.430	
169 	06/02/2019	82.6 	71      	1551  	4.10	2.94   	2.49   	0.770	
170 	07/02/2019	92.0 	83      	1670  	4.48	2.87   	2.47   	0.400	
171 	08/02/2019	90.7 	97      	1590  	4.36	3.15   	2.09   	0.430	
172 	09/02/2019	87.3 	80      	1590  	4.38	2.60   	2.30   	0.340	
173 	10/02/2019	93.8 	75      	1598  	4.58	3.01   	2.11   	0.760	
174 	11/02/2019	79.8 	140     	1605  	4.68	2.75   	2.14   	0.960	
175 	12/02/2019	76.6 	90      	--    	4.04	3.62   	2.14   	0.430	
176 	13/02/2019	71.0 	116     	1575  	4.68	2.62   	1.84   	0.350	
177 	14/02/2019	78.1 	101     	1573  	4.76	2.46   	2.28   	0.900	
178 	15/02/2019	85.7 	85      	1621  	4.51	2.89   	2.13   	0.310	
179 	16/02/2019	83.0 	100     	1560  	4.59	2.69   	2.55   	0.660	
180 	17/02/2019	96.5 	73      	1615  	4.27	2.39   	2.02   	0.360	
181 	18/02/2019	77.1 	111     	1676  	4.38	3.47   	2.14   	0.750	
182 	19/02/2019	78.2 	89      	1659  	4.40	2.42   	2.57   	0.540	
183 	20/02/2019	68.4 	105     	1527  	5.32	2.95   	2.54   	0.660	
184 	21/02/2019	65.9 	115     	1620  	4.53	2.47   	2.54   	0.320	
185 	22/02/2019	113.7	91      	1701  	4.56	2.70   	2.41   	0.360	
186 	23/02/2019	78.5 	79      	1602  	5.00	2.89   	1.82   	0.760	
187 	24/02/2019	85.4 	85      	1668  	4.23	3.15   	2.34   	1.320	
188 	25/02/2019	78.9 	104     	1641  	4.28	2.64   	2.35   	0.450	
189 	26/02/2019	69.9 	104     	1616  	4.62	2.47   	2.53   	0.510	
190 	27/02/2019	61.5 	94      	1609  	4.70	2.86   	2.07   	0.570	
191 	28/02/2019	67.6 	138     	1599  	4.34	2.61   	2.18   	0.320	
192 	01/03/2019	72.0 	70      	1606  	4.43	2.82   	1.89   	0.320	
193 	02/03/2019	85.2 	84      	1581  	4.54	2.37   	2.50   	0.360	
194 	03/03/2019	84.8 	83      	1617  	4.25	2.57   	2.17   	0.370	
195 	04/03/2019	91.7 	88      	1617  	4.62	2.90   	2.00   	0.510	
196 	05/03/2019	75.1 	111     	1539  	4.22	2.64   	1.97   	0.890	
197 	06/03/2019	86.8 	66      	1585  	4.49	2.71   	1.95   	0.520	
198 	07/03/2019	80.1 	82      	1641  	5.15	3.09   	2.03   	1.340	
199 	08/03/2019	88.1 	79      	1652  	4.67	2.60   	2.01   	0.810	
200 	09/03/2019	91.2 	71      	1649  	4.47	2.78   	1.94   	1.050	
201 	10/03/2019	87.8 	72      	--    	4.37	2.75   	2.21   	0.450	
202 	11/03/2019	93.3 	77      	1713  	3.87	3.43   	1.83   	0.340	
203 	12/03/2019	87.6 	87      	1645  	4.33	2.60   	2.15   	0.430	
204 	13/03/2019	90.1 	81      	1647  	4.20	3.01   	1.79   	0.290	
205 	14/03/2019	89.1 	89      	1623  	4.46	3.12   	2.13   	0.400	
206 	15/03/2019	90.0 	80      	1696  	4.91	3.15   	2.10   	0.980	
207 	16/03/2019	91.8 	86      	1597  	4.26	3.03   	1.81   	0.320	
208 	17/03/2019	94.3 	90      	1602  	4.58	2.79   	2.35   	1.140	
209 	18/03/2019	95.3 	73      	1634  	4.32	3.11   	1.95   	0.770	
