
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
164 	05/02/2019	82.8 	111     	1411  	4.29	2.55   	2.05   	0.730	
165 	06/02/2019	86.1 	83      	1395  	3.97	3.14   	1.77   	0.780	
166 	07/02/2019	98.3 	94      	1444  	4.00	3.10   	2.14   	0.550	
167 	08/02/2019	95.5 	89      	1449  	3.84	2.72   	2.06   	0.270	
168 	09/02/2019	97.0 	76      	1437  	4.01	2.62   	2.09   	0.350	
169 	10/02/2019	94.9 	66      	1450  	4.19	2.73   	2.11   	0.710	
170 	11/02/2019	90.3 	168     	1386  	4.06	2.58   	1.93   	0.380	
171 	12/02/2019	72.3 	77      	1427  	4.21	2.53   	1.74   	0.610	
172 	13/02/2019	79.5 	99      	1395  	4.38	2.55   	2.37   	0.370	
173 	14/02/2019	96.7 	73      	1478  	4.25	2.61   	2.01   	0.700	
174 	15/02/2019	94.0 	73      	1439  	4.29	3.18   	2.05   	0.410	
175 	16/02/2019	94.4 	86      	1458  	4.08	3.16   	1.79   	0.390	
176 	17/02/2019	85.2 	53      	1434  	4.31	3.09   	1.69   	0.930	
177 	18/02/2019	75.6 	101     	1498  	4.29	2.98   	2.15   	0.780	
178 	19/02/2019	96.6 	78      	1472  	4.24	2.98   	2.23   	0.540	
179 	20/02/2019	83.3 	117     	1344  	4.19	2.61   	2.00   	0.380	
180 	21/02/2019	73.8 	71      	1428  	4.34	2.82   	1.96   	0.330	
181 	22/02/2019	118.6	67      	1366  	4.25	2.97   	1.96   	0.440	
182 	23/02/2019	75.9 	58      	1426  	4.28	2.54   	1.89   	0.330	
183 	24/02/2019	86.2 	81      	1439  	3.90	2.29   	2.18   	0.360	
184 	25/02/2019	82.0 	117     	1564  	4.11	2.99   	1.95   	0.370	
185 	26/02/2019	72.7 	123     	1439  	4.43	2.83   	1.95   	0.480	
186 	27/02/2019	69.4 	88      	1394  	4.02	3.21   	2.17   	0.350	
187 	28/02/2019	75.8 	74      	1455  	4.17	2.69   	2.46   	0.610	
188 	01/03/2019	83.6 	82      	1452  	4.27	2.41   	2.79   	0.450	
189 	02/03/2019	96.4 	77      	1466  	4.22	2.50   	1.95   	0.940	
190 	03/03/2019	89.1 	82      	1442  	4.34	2.41   	2.10   	0.370	
191 	04/03/2019	99.0 	83      	1432  	4.92	2.38   	1.89   	0.960	
192 	05/03/2019	100.6	71      	1403  	4.52	2.68   	1.78   	0.740	
193 	06/03/2019	95.7 	66      	1441  	4.19	2.26   	2.50   	0.340	
194 	07/03/2019	106.0	74      	1489  	4.08	2.31   	2.02   	0.360	
195 	08/03/2019	95.6 	84      	1419  	4.27	2.24   	2.24   	0.420	
196 	09/03/2019	100.8	63      	1474  	4.11	2.77   	1.78   	0.350	
197 	10/03/2019	82.0 	59      	1475  	4.05	2.51   	1.60   	0.680	
198 	11/03/2019	99.3 	50      	1505  	3.82	3.12   	1.67   	0.360	
199 	12/03/2019	82.2 	88      	1443  	3.96	2.55   	1.99   	0.450	
200 	13/03/2019	80.6 	94      	1506  	4.33	2.62   	2.33   	0.360	
201 	14/03/2019	82.7 	86      	1520  	4.38	2.79   	1.80   	0.320	
202 	15/03/2019	80.9 	84      	1496  	4.24	2.59   	1.99   	0.290	
203 	16/03/2019	68.9 	114     	1442  	4.04	3.27   	1.83   	0.490	
204 	17/03/2019	83.5 	115     	1436  	4.22	2.40   	2.08   	0.430	
205 	18/03/2019	82.2 	99      	1498  	4.45	2.94   	2.30   	0.770	
