
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
193 	05/02/2019	50.2 	125     	1641  	4.70	3.01   	1.86   	0.340	
194 	06/02/2019	61.5 	81      	1665  	4.55	3.33   	1.67   	0.420	
195 	07/02/2019	70.4 	80      	1706  	4.14	3.02   	2.35   	0.740	
196 	08/02/2019	74.3 	79      	1650  	4.41	2.94   	1.84   	0.370	
197 	09/02/2019	63.2 	79      	1591  	4.46	2.81   	2.38   	0.370	
198 	10/02/2019	69.3 	86      	1632  	4.42	3.24   	1.92   	0.310	
199 	11/02/2019	58.4 	177     	1629  	4.46	2.66   	2.05   	0.360	
200 	12/02/2019	65.4 	86      	1652  	4.53	2.95   	2.04   	0.410	
201 	13/02/2019	60.9 	111     	1635  	4.59	2.77   	2.13   	0.450	
202 	14/02/2019	67.1 	88      	1748  	4.67	2.44   	2.43   	0.230	
203 	15/02/2019	69.5 	84      	1680  	4.29	2.71   	2.06   	0.330	
204 	16/02/2019	67.3 	102     	1646  	4.35	2.76   	2.50   	0.400	
205 	17/02/2019	60.0 	80      	1740  	4.56	2.61   	1.62   	0.350	
206 	18/02/2019	59.9 	92      	1682  	4.70	2.55   	2.18   	0.380	
207 	19/02/2019	59.8 	77      	1672  	4.75	2.60   	2.05   	0.500	
208 	20/02/2019	61.9 	111     	1675  	4.58	2.54   	1.87   	0.290	
209 	21/02/2019	66.9 	96      	1671  	4.54	3.08   	2.14   	0.400	
210 	22/02/2019	100.9	109     	1615  	4.53	2.70   	2.06   	0.290	
211 	23/02/2019	66.5 	81      	1615  	4.26	2.76   	2.15   	0.380	
212 	24/02/2019	66.7 	91      	1694  	4.32	3.51   	1.86   	0.380	
213 	25/02/2019	69.0 	98      	1745  	4.33	3.33   	1.60   	0.840	
214 	26/02/2019	66.8 	85      	1630  	4.13	3.12   	1.86   	0.300	
215 	27/02/2019	65.1 	94      	1656  	4.26	3.11   	2.07   	0.340	
216 	28/02/2019	66.6 	78      	1679  	4.28	2.78   	1.65   	0.300	
217 	01/03/2019	69.8 	95      	1682  	4.49	3.10   	1.84   	0.440	
218 	02/03/2019	66.5 	92      	1660  	4.55	2.71   	1.92   	0.480	
219 	03/03/2019	67.4 	107     	1694  	4.49	2.74   	2.19   	0.870	
220 	04/03/2019	64.3 	69      	1650  	4.41	2.62   	2.20   	0.370	
221 	05/03/2019	69.6 	88      	1671  	4.54	2.84   	1.71   	0.290	
222 	06/03/2019	70.3 	74      	1676  	4.54	2.43   	2.08   	0.340	
223 	07/03/2019	72.6 	87      	1689  	4.36	2.83   	1.67   	0.380	
224 	08/03/2019	73.9 	88      	1711  	4.33	2.58   	1.89   	0.400	
225 	09/03/2019	70.2 	89      	1610  	4.42	2.93   	1.85   	0.410	
226 	10/03/2019	62.0 	76      	1687  	4.58	2.73   	1.81   	0.380	
227 	11/03/2019	65.0 	91      	1744  	4.56	2.75   	1.86   	0.460	
228 	12/03/2019	60.3 	88      	1718  	4.74	2.81   	1.53   	0.330	
229 	13/03/2019	61.6 	84      	1637  	4.83	2.52   	1.86   	0.400	
230 	14/03/2019	59.5 	78      	1674  	4.90	2.85   	1.72   	0.380	
231 	15/03/2019	72.9 	88      	1771  	4.51	2.56   	2.20   	0.380	
232 	16/03/2019	61.5 	75      	1668  	4.81	2.83   	1.99   	0.380	
233 	17/03/2019	62.8 	92      	1674  	4.86	2.94   	2.14   	0.410	
234 	18/03/2019	67.7 	75      	1716  	4.69	2.67   	1.99   	0.530	
