
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
150 	05/02/2019	88.7 	105     	1597  	4.42	2.96   	1.83   	0.330	
151 	06/02/2019	93.4 	70      	1661  	4.99	3.22   	1.61   	0.440	
152 	07/02/2019	85.3 	73      	1603  	4.50	3.12   	1.86   	0.370	
153 	08/02/2019	81.5 	91      	1735  	3.72	3.02   	2.16   	0.400	
154 	09/02/2019	93.3 	77      	1674  	4.65	3.10   	2.16   	0.400	
155 	10/02/2019	81.4 	81      	1616  	4.04	3.26   	2.12   	0.620	
156 	11/02/2019	79.6 	170     	1625  	4.44	3.07   	1.95   	0.430	
157 	12/02/2019	78.7 	78      	1574  	4.91	2.98   	2.00   	0.430	
158 	13/02/2019	76.8 	172     	1693  	4.65	3.13   	2.05   	0.430	
159 	14/02/2019	75.1 	61      	1656  	4.98	3.46   	1.80   	0.360	
160 	15/02/2019	84.4 	79      	1664  	4.35	3.58   	2.12   	0.400	
161 	16/02/2019	85.4 	61      	1542  	4.00	2.89   	2.06   	0.570	
162 	17/02/2019	74.2 	69      	1662  	4.27	2.75   	2.15   	0.450	
163 	18/02/2019	84.8 	119     	1694  	4.60	2.77   	2.10   	0.310	
164 	19/02/2019	92.1 	63      	1662  	4.43	2.96   	2.03   	0.360	
165 	20/02/2019	79.2 	111     	1662  	4.49	2.47   	2.20   	0.410	
166 	21/02/2019	87.1 	110     	1643  	4.58	2.71   	2.14   	0.530	
167 	22/02/2019	118.4	103     	1639  	4.35	2.89   	2.12   	0.290	
168 	23/02/2019	87.6 	73      	1648  	4.50	2.79   	1.98   	0.910	
169 	24/02/2019	87.2 	73      	1558  	4.51	2.93   	1.79   	0.340	
170 	25/02/2019	72.9 	94      	1706  	3.96	3.32   	2.15   	0.530	
171 	26/02/2019	72.8 	94      	1653  	4.30	3.42   	2.13   	0.440	
172 	27/02/2019	80.7 	105     	1564  	4.45	3.00   	1.95   	0.290	
173 	28/02/2019	79.6 	80      	1716  	4.19	3.49   	2.05   	0.420	
174 	01/03/2019	76.8 	67      	1673  	4.86	2.79   	1.72   	0.340	
175 	02/03/2019	72.8 	81      	1662  	4.27	2.84   	1.73   	0.700	
176 	03/03/2019	72.4 	56      	1745  	4.84	2.70   	2.31   	0.340	
177 	04/03/2019	59.1 	85      	1678  	4.28	2.67   	2.45   	0.390	
178 	05/03/2019	77.0 	84      	1639  	4.93	2.68   	2.21   	0.430	
179 	06/03/2019	76.1 	83      	1617  	5.42	2.91   	2.09   	0.500	
180 	07/03/2019	39.6 	161     	1701  	4.09	2.95   	2.09   	0.480	
181 	08/03/2019	90.8 	62      	1583  	5.45	2.66   	2.44   	0.430	
182 	09/03/2019	64.2 	69      	1615  	4.71	2.94   	1.84   	0.400	
183 	10/03/2019	62.0 	48      	1555  	4.22	3.12   	1.96   	0.380	
184 	11/03/2019	67.4 	104     	1573  	4.88	3.04   	1.67   	0.700	
185 	12/03/2019	62.2 	64      	1687  	4.76	2.69   	2.50   	0.540	
186 	13/03/2019	74.0 	57      	1604  	4.71	2.96   	1.60   	0.360	
187 	14/03/2019	63.4 	72      	1662  	3.99	2.55   	2.23   	0.400	
188 	15/03/2019	94.1 	66      	1684  	4.19	3.27   	1.99   	0.390	
189 	16/03/2019	69.6 	80      	1612  	3.86	2.76   	2.04   	0.630	
190 	17/03/2019	70.0 	72      	1587  	4.40	2.93   	2.13   	0.590	
191 	18/03/2019	69.5 	64      	1676  	4.87	2.66   	2.05   	0.360	
