
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
175 	05/02/2019	93.4 	101     	1461  	4.92	2.96   	2.28   	0.420	
176 	06/02/2019	107.9	109     	1428  	4.13	2.98   	2.25   	0.630	
177 	07/02/2019	103.2	94      	1477  	4.52	2.69   	1.87   	0.330	
178 	08/02/2019	100.8	114     	1507  	4.64	2.75   	2.38   	0.830	
179 	09/02/2019	98.5 	118     	1453  	4.42	2.86   	2.22   	0.460	
180 	10/02/2019	99.8 	119     	1465  	4.62	2.72   	2.22   	0.710	
181 	11/02/2019	88.0 	159     	1426  	4.62	3.13   	2.16   	1.100	
182 	12/02/2019	96.7 	112     	1425  	4.69	2.70   	2.21   	0.420	
183 	13/02/2019	94.6 	126     	1452  	4.80	2.66   	2.68   	0.390	
184 	14/02/2019	97.4 	120     	1450  	4.45	2.89   	2.12   	0.960	
185 	15/02/2019	91.9 	102     	1428  	5.09	2.64   	1.91   	0.950	
186 	16/02/2019	104.0	117     	1484  	4.68	3.09   	2.23   	0.880	
187 	17/02/2019	100.6	160     	1475  	4.86	2.92   	2.19   	0.740	
188 	18/02/2019	101.0	348     	1463  	4.78	2.80   	2.23   	1.300	
189 	19/02/2019	101.8	109     	1399  	5.07	3.37   	2.40   	0.830	
190 	20/02/2019	97.5 	143     	1399  	4.30	3.04   	1.79   	0.700	
191 	21/02/2019	121.8	116     	1494  	4.21	3.03   	2.07   	0.590	
192 	22/02/2019	158.0	100     	1465  	4.70	2.99   	2.12   	0.650	
193 	23/02/2019	111.6	92      	1482  	4.59	3.22   	2.15   	0.730	
194 	24/02/2019	121.6	85      	1464  	4.65	2.66   	2.18   	0.910	
195 	25/02/2019	112.3	111     	1531  	4.53	2.64   	2.65   	0.640	
196 	26/02/2019	108.8	102     	1492  	4.18	2.46   	1.97   	0.790	
197 	27/02/2019	101.4	112     	1465  	4.32	2.81   	1.96   	0.670	
198 	28/02/2019	116.4	96      	1482  	4.94	2.56   	2.04   	0.800	
199 	01/03/2019	105.4	278     	1474  	4.22	2.66   	2.04   	0.620	
200 	02/03/2019	130.8	153     	1478  	4.21	2.58   	2.42   	0.400	
201 	03/03/2019	105.7	86      	1485  	4.21	3.24   	2.15   	0.360	
202 	04/03/2019	123.9	79      	1517  	4.60	2.88   	1.99   	0.380	
203 	05/03/2019	119.5	102     	1469  	4.53	2.81   	2.52   	0.420	
204 	06/03/2019	127.7	116     	1492  	4.55	3.54   	1.66   	1.210	
205 	07/03/2019	113.9	98      	1525  	5.01	2.89   	1.91   	0.970	
206 	08/03/2019	117.5	84      	1415  	4.20	3.15   	1.72   	0.580	
207 	09/03/2019	101.3	82      	1443  	4.36	2.75   	2.23   	0.650	
208 	10/03/2019	101.2	83      	1455  	4.75	2.74   	2.12   	0.410	
209 	11/03/2019	114.8	110     	1521  	4.55	2.86   	2.21   	0.490	
210 	12/03/2019	101.1	91      	1450  	4.45	2.93   	1.98   	0.400	
211 	13/03/2019	96.3 	111     	1526  	5.06	2.87   	2.30   	0.760	
212 	14/03/2019	90.1 	96      	1494  	5.06	2.47   	2.18   	0.910	
213 	15/03/2019	99.8 	91      	1532  	4.60	3.03   	2.10   	0.910	
214 	16/03/2019	94.5 	99      	1508  	4.82	2.88   	2.36   	0.970	
215 	17/03/2019	98.8 	109     	1442  	4.87	2.69   	2.05   	0.780	
216 	18/03/2019	93.6 	91      	1521  	4.88	2.74   	2.21   	0.380	
