
Days	Date      	Milk 	Activity	Weight	Fat 	Protein	Lactose	Blood	
190 	05/02/2019	60.6 	138     	1528  	4.65	2.91   	1.73   	0.330	
191 	06/02/2019	80.8 	104     	1528  	4.50	2.54   	2.18   	0.760	
192 	07/02/2019	75.2 	96      	1606  	4.74	2.94   	1.91   	0.340	
193 	08/02/2019	80.3 	112     	1566  	4.36	2.88   	2.39   	0.390	
194 	09/02/2019	67.9 	109     	1554  	4.68	2.47   	2.52   	0.370	
195 	10/02/2019	69.2 	107     	1546  	4.82	2.64   	1.67   	0.360	
196 	11/02/2019	72.2 	202     	1540  	5.00	3.61   	2.02   	0.370	
197 	12/02/2019	74.6 	104     	1547  	4.52	2.91   	1.73   	0.350	
198 	13/02/2019	76.8 	109     	1571  	4.87	2.65   	1.89   	0.370	
199 	14/02/2019	72.3 	96      	1659  	4.42	3.11   	1.88   	0.750	
200 	15/02/2019	75.5 	112     	1571  	5.10	2.94   	1.94   	0.350	
201 	16/02/2019	81.9 	92      	1663  	4.93	3.20   	1.97   	0.360	
202 	17/02/2019	37.0 	--      	--    	4.80	3.14   	1.92   	0.000	
203 	18/02/2019	34.7 	--      	--    	4.95	2.77   	2.04   	0.320	
204 	19/02/2019	65.1 	--      	--    	4.95	2.99   	2.07   	0.400	
205 	20/02/2019	68.9 	--      	--    	4.87	3.01   	2.01   	0.340	
206 	21/02/2019	69.4 	--      	--    	5.00	2.82   	1.81   	0.350	
207 	22/02/2019	109.0	--      	--    	4.98	2.94   	1.93   	0.280	
208 	23/02/2019	66.6 	--      	--    	4.87	3.08   	2.15   	0.420	
209 	24/02/2019	35.5 	--      	--    	4.69	2.72   	1.87   	0.000	
210 	25/02/2019	46.3 	--      	--    	4.64	2.33   	2.00   	0.360	
211 	26/02/2019	63.7 	--      	--    	5.16	3.34   	1.72   	0.400	
212 	27/02/2019	63.8 	--      	--    	4.80	3.09   	1.89   	0.330	
213 	28/02/2019	67.1 	--      	--    	4.98	3.16   	1.85   	0.300	
214 	01/03/2019	30.2 	--      	--    	4.74	2.89   	2.14   	0.350	
215 	02/03/2019	34.0 	--      	--    	5.02	2.89   	2.06   	0.410	
216 	03/03/2019	35.2 	--      	--    	5.20	3.18   	1.96   	0.300	
217 	04/03/2019	68.8 	--      	--    	4.99	3.06   	1.83   	0.450	
218 	05/03/2019	76.1 	--      	--    	5.00	2.83   	1.85   	0.340	
219 	06/03/2019	66.8 	--      	--    	5.21	3.16   	1.72   	0.370	
220 	07/03/2019	75.5 	--      	--    	5.01	2.49   	2.08   	0.320	
221 	08/03/2019	83.1 	--      	--    	4.75	2.58   	2.11   	0.330	
222 	09/03/2019	70.6 	--      	--    	5.02	2.85   	1.89   	0.360	
223 	10/03/2019	74.7 	--      	--    	5.05	2.85   	1.71   	0.310	
224 	11/03/2019	72.0 	--      	--    	4.81	2.65   	2.12   	0.380	
225 	12/03/2019	72.1 	--      	--    	5.19	2.79   	1.84   	0.620	
226 	13/03/2019	74.8 	--      	--    	5.08	2.83   	1.81   	0.430	
227 	14/03/2019	75.8 	--      	--    	5.06	2.84   	1.82   	0.340	
228 	15/03/2019	83.1 	--      	--    	4.95	2.81   	1.98   	0.400	
229 	16/03/2019	70.1 	--      	--    	5.00	2.81   	2.27   	0.300	
230 	17/03/2019	85.8 	--      	--    	5.06	3.40   	1.92   	0.460	
231 	18/03/2019	74.0 	--      	--    	4.91	2.43   	1.86   	0.410	
