
Days	Date      	Milk	Activity	Weight	Fat 	Protein	Lactose	Blood	
215 	05/02/2019	67.6	98      	1768  	4.90	2.81   	2.07   	0.420	
216 	06/02/2019	54.9	64      	1757  	4.25	2.48   	2.65   	0.680	
217 	07/02/2019	64.3	53      	1703  	4.83	3.09   	1.95   	0.370	
218 	08/02/2019	53.8	82      	1751  	4.39	3.17   	2.03   	0.400	
219 	09/02/2019	52.3	90      	1745  	4.30	3.17   	1.96   	0.400	
220 	10/02/2019	62.1	78      	1739  	4.57	2.91   	2.26   	0.400	
221 	11/02/2019	65.0	144     	1760  	5.03	2.78   	1.87   	0.450	
222 	12/02/2019	65.3	71      	1752  	4.71	2.97   	2.24   	0.380	
223 	13/02/2019	54.6	92      	--    	4.33	3.14   	1.93   	0.420	
224 	14/02/2019	70.9	88      	1874  	4.48	2.89   	2.44   	0.680	
225 	15/02/2019	66.1	234     	1806  	5.02	3.79   	1.48   	0.340	
226 	16/02/2019	71.3	66      	1859  	5.04	3.03   	2.21   	0.660	
227 	17/02/2019	67.7	68      	1783  	4.49	3.50   	2.44   	0.370	
228 	18/02/2019	64.1	73      	1834  	4.44	3.03   	1.74   	0.320	
229 	19/02/2019	66.6	88      	1903  	4.46	3.03   	2.14   	0.400	
230 	20/02/2019	62.4	105     	1802  	4.64	2.69   	2.49   	0.400	
231 	21/02/2019	58.8	89      	1766  	4.64	2.76   	2.04   	0.290	
232 	22/02/2019	94.7	80      	1760  	4.68	3.12   	2.02   	0.300	
233 	23/02/2019	57.4	69      	1807  	4.73	3.04   	1.88   	0.400	
234 	24/02/2019	56.3	80      	1772  	4.68	2.93   	2.24   	0.710	
235 	25/02/2019	54.5	134     	1881  	4.79	2.94   	2.04   	0.340	
236 	26/02/2019	62.9	117     	1756  	4.36	3.03   	2.29   	0.440	
237 	27/02/2019	59.2	111     	1745  	4.72	3.04   	2.56   	0.770	
238 	28/02/2019	69.8	79      	1803  	4.54	2.85   	2.02   	0.440	
239 	01/03/2019	60.4	97      	1810  	4.53	2.94   	2.08   	0.300	
240 	02/03/2019	77.3	83      	1802  	4.83	2.75   	2.01   	0.400	
241 	03/03/2019	57.1	90      	1899  	4.89	3.02   	2.35   	0.410	
242 	04/03/2019	70.0	74      	1825  	4.59	3.04   	2.51   	0.410	
243 	05/03/2019	62.0	75      	1778  	4.57	3.13   	2.20   	1.040	
244 	06/03/2019	67.3	100     	1849  	4.64	2.76   	2.44   	0.310	
245 	07/03/2019	68.6	90      	1880  	4.34	3.12   	2.18   	0.410	
246 	08/03/2019	67.6	107     	1861  	4.83	2.66   	2.20   	0.440	
247 	09/03/2019	65.2	95      	1861  	4.62	3.00   	2.29   	0.610	
248 	10/03/2019	59.0	61      	1835  	4.85	2.97   	2.13   	0.510	
249 	11/03/2019	53.5	61      	1863  	4.55	2.80   	2.22   	0.360	
250 	12/03/2019	52.2	92      	1879  	4.56	3.03   	2.23   	0.400	
251 	13/03/2019	50.1	96      	1868  	4.61	3.10   	1.68   	0.330	
252 	14/03/2019	57.9	100     	1874  	4.74	3.07   	2.08   	0.450	
253 	15/03/2019	51.2	81      	1929  	4.74	3.28   	1.67   	0.500	
254 	16/03/2019	61.7	107     	1910  	4.65	2.85   	1.88   	0.430	
255 	17/03/2019	60.2	108     	1874  	4.72	3.05   	2.43   	0.450	
256 	18/03/2019	63.2	77      	1904  	4.85	3.19   	1.98   	0.450	
